title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Law No 8462 establishing a support scheme for the transition to a net zero emissions economy,"<div>The bill proposes two primary types of financial support to aid the transition to a net zero emissions economy. The first type focuses on helping manufacturing companies electrify their production processes to significantly reduce greenhouse gas emissions. The second type supports investments in the production of key technologies and materials necessary for achieving a net zero emissions economy, including renewable energy equipment and carbon capture technologies.</div>",In force,2025,National,International Energy Agency,2024-11-22,,https://meco.gouvernement.lu/fr/actualites.gouvernement2024+fr+actualites+toutes_actualites+communiques+2025+02-fevrier+28-decarbonisation-industrie.html,,1775898639455,"[{""iso3"":""LUX"",""name"":""Luxembourg""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Economic"",""name"":""Energy efficiency and recycling spending programmes"",""category"":null},{""topic"":""Fuels"",""family"":""Economic"",""name"":""Carbon capture, use and storage spending programmes"",""category"":null}]"
Heat Pump Pool,"<div>The Heat Pump Pool aims to convert heat supply in year-round homes in Denmark to greener alternatives by providing subsidies for individual heat pumps (liquid-to-water or air-to-water). Homeowners, including private homeowners and various housing associations, can apply for tax-exempt subsidies to replace oil, gas, bio boilers, or electric heating systems with heat pumps, meeting specific technical requirements.</div>",In force,2025,National,International Energy Agency,2025-02-14,,https://www.retsinformation.dk/eli/lta/2025/137,,1750778231153,"[{""iso3"":""DNK"",""name"":""Denmark""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Economic"",""name"":""Energy-efficient appliances spending programmes"",""category"":null}]"
Energy Renovation Pool,"<div>The Energy Renovation Pool aims to reduce energy consumption in year-round homes in Denmark by providing subsidies for renovating building envelopes and optimizing home operations. Eligible projects include replacing faÃ§ade windows, skylights, and external post-insulation, as well as installing mechanical ventilation with heat recovery and waterborne space heating. Homeowners, including private homeowners and various housing associations, can apply for tax-exempt subsidies to support these energy-efficient renovations.</div>",In force,2025,National,International Energy Agency,2025-02-07,,https://www.retsinformation.dk/eli/lta/2025/143,,1750778231238,"[{""iso3"":""DNK"",""name"":""Denmark""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Economic"",""name"":""Energy-efficient buildings spending programmes"",""category"":""Existing buildings""},{""topic"":""Buildings"",""family"":""Economic"",""name"":""Energy-efficient buildings spending programmes"",""category"":""New buildings""}]"
2025 Sustainable Energy Production and Climate Transition Incentive Scheme (SDE++),"<div>The government is expanding support for sustainable energy production through a new round of the Sustainable Energy Production and Climate Transition Incentive Scheme (SDE++), launching on 7 October 2025 with a budget of EUR 8 billion. The scheme aims to reduce reliance on fossil fuels by encouraging investments in solar energy, biogas, geothermal energy, and industrial heat pumps, among other technologies. It functions as a market-based subsidy, compensating only for the unprofitable portion of projects. Additional incentives will be provided in 2025 for projects that ease pressure on the electricity grid, such as electric boilers operating off-peak hours and vertical solar panels that distribute power generation more evenly.</div>",In force,2025,National,International Energy Agency,2025-10-07,,https://www.rijksoverheid.nl/actueel/nieuws/2025/02/21/vanaf-oktober-opnieuw-subsidie-voor-meer-duurzame-energie,,1750778231636,"[{""iso3"":""NLD"",""name"":""Netherlands""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Solar PVs""},{""topic"":""Industry"",""family"":""Economic"",""name"":""Energy efficiency and recycling spending programmes"",""category"":null},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Other""}]"
Investment credit for large investments aiming at a climate neutral economy,"<div>Finland offers an investment credit for large projects aimed at achieving a climate-neutral economy, with eligible costs of at least â¬50 million. The credit covers investments in renewable energy production, energy storage, low-carbon industrial processes, and sectors strategic to the transition, such as batteries, solar panels, and wind turbines. The credit amounts to 20% of eligible costs, up to a maximum of â¬150 million per company, and must be applied for before the commencement of works.</div>",In force,2025,National,International Energy Agency,2024-12-19,,https://www.businessfinland.fi/en/for-finnish-customers/services/funding/tax-credit-for-large-clean-transition-investments,,1750778233015,"[{""iso3"":""FIN"",""name"":""Finland""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Other""},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Other""},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Thermal storage""}]"
2025 Budget- Industriklivet,<div>The 2025 budget has allocated SEK 100 million to support heavy industry in reducing emissions through electrification and hydrogen use.</div>,In force,2025,National,International Energy Agency,2024-10-02,2025,https://vatgas.se/en/2024/10/02/the-budget-bill-2025-focus-on-energy-innovation-and-sustainability/,,1750778239871,"[{""iso3"":""SWE"",""name"":""Sweden""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Economic"",""name"":""Energy efficiency and recycling spending programmes"",""category"":null}]"
Fossil-Free Energy sources research  ,"<div>In 2025 budget, the Swedish government has allocated SEK 1.65 billion for research in fossil-free energy, with a particular emphasis on nuclear power, battery technology andÂ  hydrogen technology. The nuclear power has been awarded with SEK 400 billion in credit guarantees.<br><br>Â In 2026, 145 million (SEK 1.53 billion) was allocated to energy research, supporting research, innovation, and the utilisation of results, as well as the development of fossilâfree and energyâefficient technologies.</div>",In force,2025,National,International Energy Agency,2024-10-02,2025,https://vatgas.se/en/2024/10/02/the-budget-bill-2025-focus-on-energy-innovation-and-sustainability/,,1780503666132,"[{""iso3"":""SWE"",""name"":""Sweden""}]",[],[],[],"[{""topic"":""Technology R&D and innovation"",""family"":""Economic"",""name"":""Grants"",""category"":""Grants for R&D projects""},{""topic"":""Power"",""family"":""Economic"",""name"":""Power generation spending programmes"",""category"":""Nuclear""}]"
Law 327/2021 - Energy Transition Acceleration Program (PATEN),"<div>The programme aims to foster the promotion of sustainable development projects, connecting financing institutions with companies interested in sustainable initiatives, leveraging corporate credits as a financing tool, encouraging the generation and efficient use of low-carbon energy, and fostering energy transition activities in coal-mining regions.</div>",In force,2025,National,International Energy Agency,2025-01-22,,https://www.gov.br/planalto/en/latest-news/2025/01/president-lula-signs-into-law-energy-transition-acceleration-program,,1750778242515,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Economy-wide"",""family"":""General legal framework"",""name"":""Master Energy Plan"",""category"":null}]"
 Batteries energy storage systems auctions,<div>Brazil is expected to hold an auction in 2026 exclusively to contract batteries and energy storage systems for the electricity sector.Â </div>,Announced,2026,National,International Energy Agency,2025-11-10,,https://www.gov.br/mme/pt-br/assuntos/noticias/alexandre-silveira-lanca-consulta-publica-para-leilao-inedito-de-sistemas-de-armazenamento-em-baterias,,1772536878606,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""}]"
Spain Mineral Raw Materials Action Plan 2025-2029,"<div>The Ministry for the Ecological Transition and the Demographic Challenge (MITECO) has launched the Mineral Raw Materials Action Plan 2025-2029, aiming to transform the sector with a comprehensive approach that emphasises recycling, sustainability, and strategic autonomy. The plan focuses on identifying needs, tracing imported materials, and recovering resources within Spain, while also restoring mining areas to enhance biodiversity and integrate renewable energy.<br><br></div><ul><li><strong>Strategic Orientations</strong>:<br><br><ul><li>Promote efficiency and circular economy principles, aligning with the Circular Spain 2030 Strategy.</li><li>Encourage sustainable practices in the extractive industry.</li><li>Ensure the security of supply by adhering to environmental and social justice requirements.</li><li>Support the use of mineral raw materials for energy and digital transitions.</li></ul></li><li><strong>Key Actions</strong>:<br><br><ul><li>Modernise mining regulations with high environmental and social standards.</li><li>Adapt restoration plans to European regulations.</li><li>Update financial guarantees to ensure proper restoration by exploitation owners.</li></ul></li><li><strong>Investment</strong>:<br><br><ul><li>400 million euros dedicated to recovering soils and areas affected by mining activities.</li></ul></li><li><strong>National Mining Exploration Program (2025-2029)</strong>:<br><br><ul><li>Improve knowledge of mineral resources, focusing on essential raw materials such as lithium, nickel, cobalt, and rare earths.</li><li>Support 30,000 jobs while promoting sustainability and strategic autonomy in the sector.</li></ul></li></ul>",In force,2025,National,International Energy Agency,,,https://www.miteco.gob.es/es/prensa/ultimas-noticias/2025/marzo/el-miteco-lanza-el-plan-de-accion-de-las-materias-primas-mineral.html,,1762510897710,"[{""iso3"":""ESP"",""name"":""Spain""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":null}]"
High-Quality Development Action Plan for New Energy Storage Manufacturing,"<div>The High-Quality Development Action Plan for New Energy Storage Manufacturing includes several financial incentives, e.g.:<br><br></div><ul><li>Subsidies for research and development projects focused on new energy storage technologies.</li><li>Tax breaks for companies that invest in the construction of energy storage facilities.</li><li>Grants for pilot projects that demonstrate the effectiveness of new energy storage systems.</li><li>Low-interest loans to support the expansion of energy storage manufacturing capabilities.</li><li>Financial rewards for companies that achieve significant advancements in energy storage technology and efficiency.</li></ul>",In force,2025,National,International Energy Agency,2025-02-10,,https://www.gov.cn/zhengce/zhengceku/202502/content_7004135.htm,,1750778246251,"[{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""}]"
2030 Industry and Technology Strategy,"<div>Turkey's 2030 Industry and Technology Strategy aims to establish industrial facilities for nuclear energy, green hydrogen, battery storage, and carbon capture and storage (CCS). The strategy includes setting up clusters for equipment and infrastructure, with a focus on high-tech exports and domestic innovations.</div>",In force,2025,National,International Energy Agency,2025-03-26,,https://www.iletisim.gov.tr/english/haberler/detay/we-want-to-maximize-our-technological-independence,,1750778252950,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],[],[],"[{""topic"":""Industry"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":null},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Batteries""},{""topic"":""Fuels"",""family"":""Economic"",""name"":""Hydrogen spending programmes"",""category"":null},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Other""},{""topic"":""Fuels"",""family"":""Economic"",""name"":""Carbon capture, use and storage spending programmes"",""category"":null},{""topic"":""Power"",""family"":""Economic"",""name"":""Battery storage spending programmes"",""category"":""Thermal storage""}]"
Current Incentives for Electric Mobility in the Megalopolis,"<div>There are fiscal incentives to promote electric mobility, including exemptions on the importation of electric vehicles, as well as a tax credit equal to 30% of the investment made in charging equipment during the fiscal year, provided the chargers are permanently installed in public locations.Â </div>",In force,2025,National,International Energy Agency,,,https://www.gob.mx/cms/uploads/attachment/file/832518/4.Incentivos_vigentes.pdf,,1750778253667,"[{""iso3"":""MEX"",""name"":""Mexico""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Economic"",""name"":""Low-emissions and efficient transport spending programmes"",""category"":""Light-duty vehicles""},{""topic"":""Transport"",""family"":""Economic"",""name"":""Charging infrastructure spending programmes"",""category"":null}]"
Strategic Projects of the CRMA,"<div>The European Commission has adopted a list of 47 Strategic Projects aimed at boosting domestic strategic raw material capacities. These projects are crucial for strengthening the European raw materials value chain and diversifying sources of supply. The projects are part of the implementation of the Critical Raw Materials Act (CRMA), which targets European extraction, processing, and recycling of strategic raw materials to meet 10%, 40%, and 25% of the EU's demand by 2030, respectively.<br><strong><br></strong>Key Objectives include to:</div><ul><li>Enhance the EU's domestic production of strategic raw materials.</li><li>Diversify external supply sources.</li><li>Support the EU's green and digital transitions.</li><li>Strengthen the EU's defence and aerospace industries</li></ul><div>The scope and coverage of the selected strategic projects span across 13 EU Member States, including Belgium, France, Italy, Germany, Spain, Estonia, Czechia, Greece, Sweden, Finland, Portugal, Poland, and Romania. These projects cover 14 raw materials:Â </div><ol><li>Lithium (battery grade)</li><li>Nickel (battery grade)</li><li>Cobalt</li><li>Manganese (battery grade)</li><li>Graphite (battery grade)</li><li>Magnesium</li><li>Tungsten</li><li>Platinum group metals</li><li>Copper</li><li>Bauxite/Alumina/Aluminium</li><li>Gallium</li><li>Rare earth elements for magnets</li><li>Boron (metallurgy grade)</li><li>Germanium</li></ol><div>The types of projects include extraction, processing, recycling and substitution of raw materials. The implementation timeline for these projects begins on 25 March 2025, with an expected completion by 2030. The total capital investment for these projects is estimated at â¬22.5 billion. The projects will benefit from coordinated support from the Commission, Member States, and financial institutions, including streamlined permitting provisions and access to finance. Furthermore, all projects adhere to Environmental, Social and Governance (ESG) criteria and demonstrate clear cross-border benefits for the EU.<br><br>The strategic projects are as follows:</div><ol><li><strong>Ageli</strong>: An ongoing integrated extraction and processing project in France, promoted by Eramet, focusing on lithium (battery grade).</li><li><strong>Aguablanca</strong>: An ongoing extraction project in Spain, promoted by Rio Narcea Recursos S.A., focusing on cobalt, platinum group metals, copper, and nickel (battery grade).</li><li><strong>Alpha Project</strong>: An ongoing recycling project in Italy, promoted by Solvay Chimica Italia Spa, focusing on platinum group metals.</li><li><strong>BAM4EVER (Phase I&amp;II)</strong>: An ongoing processing project in France, promoted by Tokai COBEX savoie, focusing on graphite (battery grade).</li><li><strong>Barroso Lithium Project</strong>: An ongoing extraction project in Portugal, promoted by Savannah Lithium, Unipessoal, Lda., focusing on lithium (battery grade).</li><li><strong>BAUX-EU, GALLANT and LEADER</strong>: An ongoing integrated project in Greece, promoted by Metlen Energy &amp; Metals and European Bauxites, focusing on bauxite/alumina/aluminium and gallium.</li><li><strong>CAREMAG</strong>: An ongoing processing project in France, promoted by Caremag SAS, focusing on rare earth elements for magnets and boron (metallurgy grade).</li><li><strong>Chvaletice Manganese Project</strong>: An ongoing integrated extraction and processing project in Czechia, promoted by Euro Manganese Inc, focusing on manganese (battery grade).</li><li><strong>CÃ­novec lithium project</strong>: An ongoing integrated extraction and processing project in Czechia, promoted by Geomet s.r.o., focusing on lithium (battery grade).</li><li><strong>CirCular</strong>: An ongoing recycling project in Spain, promoted by Atlantic Copper SLU, focusing on copper, nickel, and platinum group metals.</li><li><strong>CO2Graphite</strong>: An ongoing processing project in Estonia, promoted by UP Catalyst OU, focusing on graphite (battery grade) .</li><li><strong>EMILI</strong>: An ongoing integrated extraction and processing project in France, promoted by IMERYS Ceramics France and IMERYS Lithium France, focusing on lithium (battery grade).</li><li><strong>European Initiative for Strategic and Sustainable Graphite Production</strong>: An ongoing processing project in France, Namibia, and Germany, promoted by NGC Battery Materials GmbH, focusing on graphite (battery grade).</li><li><strong>GePETO</strong>: An ongoing processing project in Belgium, promoted by Umicore, focusing on germanium.</li><li><strong>GALLICAM</strong>: An ongoing processing project in France, promoted by Sibanye-Stillwater Sandouville Refinery, focusing on nickel (battery grade), cobalt, lithium (battery grade), graphite (battery grade), manganese (battery grade), and copper.</li><li><strong>Hycamite TCD Technologies Ltd</strong>: An ongoing processing project in Finland, promoted by Hycamite TCD Technologies Ltd, focusing on graphite (battery grade).</li><li><strong>Hydrometallurgy</strong>: An ongoing recycling project in France, promoted by Orano Batteries, focusing on lithium (battery grade), cobalt, nickel (battery grade), manganese (battery grade), and graphite (battery grade).</li><li><strong>Jervois Finland Cobalt Refinery Expansion Project</strong>: An ongoing processing project in Finland, promoted by Jervois Finland Oy, focusing on cobalt .</li><li><strong>KELIBER LITHIUM</strong>: An ongoing integrated extraction and processing project in Finland, promoted by Keliber Technology Oy, focusing on lithium (battery grade).</li><li><strong>Kolmisoppi</strong>: An ongoing extraction project in Finland, promoted by Terrafame Ltd., focusing on nickel (battery grade) and cobalt.</li><li><strong>Las Navas</strong>: An ongoing extraction project in Spain, promoted by Lithium Iberia S.L., focusing on lithium (battery grade).</li><li><strong>LIFE22-ENV-IT-INSPIREE</strong>: An ongoing recycling project in Italy, promoted by Itelyum Regeneration SpA, focusing on rare earth elements for magnets.</li><li><strong>Lift One</strong>: An ongoing processing project in Portugal, promoted by Lifthium energy S.A., focusing on lithium (battery grade).</li><li><strong>Lithium Hydroxide Converter Guben</strong>: An ongoing processing project in Germany, promoted by Rock Tech Guben GmbH, focusing on lithium (battery grade).</li><li><strong>MagFactory</strong>: An ongoing recycling project in France, promoted by MagREEsource, focusing on rare earth elements for magnets.</li><li><strong>MINA DOADE PROJECT</strong>: An ongoing extraction project in Spain, promoted by Recursos Minerales de Galicia S.A., focusing on lithium (battery grade).</li><li><strong>Mining Project El Moto</strong>: An ongoing extraction project in Spain, promoted by Abenojar Tungsten S.L., focusing on tungsten.</li><li><strong>NorthCYCLE</strong>: An ongoing recycling project in Sweden, promoted by Northvolt Revolt AB, focusing on manganese (battery grade), lithium (battery grade), graphite (battery grade), nickel (battery grade), and cobalt.</li><li><strong>Lombador North Phase 2, Semblana and 3rd SILO project</strong>: An ongoing integrated project in Portugal, promoted by SOMINCOR, focusing on copper.</li><li><strong>P6 Metals</strong>: An ongoing integrated extraction and processing project in Spain, promoted by Iberian Resources Spain, focusing on tungsten.</li><li><strong>POLVOLT</strong>: An ongoing recycling project in Poland, promoted by Elemental Battery Metals SP. z.o.o., focusing on nickel (battery grade), copper, cobalt, lithium (battery grade), platinum group metals, and manganese (battery grade) .</li><li><strong>Polymetallic primary sulphide project</strong>: An ongoing integrated extraction and processing project in Spain, promoted by Cobre las Cruces S.A.U., focusing on copper .</li><li><strong>Portovesme CRM Hub</strong>: An ongoing recycling project in Italy, promoted by Portovesme s.r.l., focusing on lithium (battery grade) and manganese (battery grade) .</li><li><strong>ProHiPerSi</strong>: An ongoing substitution project in Germany, promoted by PCC Thorion GmbH, focusing on the substitution of graphite (battery grade) .</li><li><strong>Project Fortum Hydromet</strong>: An ongoing recycling project in Finland, promoted by Fortum Battery Recycling Oy, focusing on lithium (battery grade), graphite (battery grade), copper, nickel (battery grade), and cobalt .</li><li><strong>Pulawy Rare Earths Separation Plant</strong>: An ongoing processing project in Poland, promoted by Mkango Resources Ltd., focusing on rare earth elements for magnets .</li><li><strong>RECOVER-IT</strong>: An ongoing recycling project in Italy, promoted by Circular Materials s.r.l., focusing on copper, nickel (battery grade), and platinum group metals .</li><li><strong>ReeMAP Project: Malmberget, Per Geijer and Lulea Industrial Park</strong>: An ongoing integrated project in Sweden, promoted by Luossavaara-Kirunavaara AB (LKAB), focusing on rare earth elements for magnets.</li><li><strong>ReGAIN</strong>: An ongoing substitution project in Belgium, promoted by Umicore, focusing on the substitution of germanium.</li><li><strong>Romano Mine</strong>: An ongoing extraction project in Portugal, promoted by Lusorecursos Portugal Lithium S.A., focusing on lithium (battery grade).</li><li><strong>Rovina</strong>: An ongoing extraction project in Romania, promoted by Euro Sun Mining Inc., focusing on copper.</li><li><strong>Sakatti</strong>: An ongoing integrated extraction and processing project in Finland, promoted by Anglo American Services (UK) Ltd., focusing on cobalt, platinum group metals, copper, and nickel (battery grade).</li><li><strong>SALROM Baia de Fier</strong>: An ongoing extraction project in Romania, promoted by Societatea NaÈionalÄ a SÄrii S.A., focusing on graphite (battery grade).</li><li><strong>Talga Natural Graphite ONE</strong>: An ongoing extraction project in Sweden, promoted by Talga AB, focusing on graphite (battery grade).</li><li><strong>Verde Magnesium</strong>: An ongoing extraction project in Romania, promoted by Verde Magnesium SRL, focusing on magnesium metal.</li><li><strong>Viridian Lithium</strong>: An ongoing processing project in France, promoted by Viridian Lithium, focusing on lithium (battery grade).</li><li><strong>Zero Carbon Lithium</strong>: An ongoing extraction project in Germany, promoted by Vulcan Energie Ressourcen GmbH, focusing on lithium (battery grade).</li></ol>",In force,2025,Regional,International Energy Agency,,,https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials/strategic-projects-under-crma/selected-projects_en,,1746485710536,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Public investment"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":""Minerals recycling""}]"
A Competitiveness Compass for the EU,"<div>""A Competitiveness Compass for the EU"" outlines the European Commission's strategic approach to enhancing the EU's competitiveness. A significant part of this strategy focuses on securing a reliable and diversified supply of critical raw materials, which are essential for the EU's energy, food production and industrial sectors.<br><br>The primary goals of the EU's strategy on minerals are to:</div><ol><li><strong>Reduce Dependencies:</strong> Minimise reliance on single or highly concentrated suppliers of key strategic sectors through recycling, innovation, and research.</li><li><strong>Promote Domestic Production:</strong> Provide targeted financial support for establishing or promoting domestic processing or manufacturing capacities.</li><li><strong>Create Back-ups and Stockpiles:</strong> Establish reserves and stockpiles to ensure a stable supply of critical raw materials.</li><li><strong>Diversify Supply Chains:</strong> Form bilateral and multilateral partnerships to diversify supply chains and reduce vulnerabilities.</li></ol><div>Key Measures for minerals:</div><ol><li><strong>Joint Purchasing Platform: </strong>The Commission will create a platform for the joint purchase of critical raw materials, following the recent experience with AggregateEU. This platform will identify the needs of EU industries, aggregate demand, and coordinate joint purchases.</li><li><strong>Critical Raw Materials Act: </strong>The policy will combine the promotion of domestic production, stockpiling, and diversification to ensure a reliable supply of raw materials crucial for the energy, food production, and industrial sectors.</li><li><strong>Trade and Economic Security: </strong>The EU's trade relationships can sometimes create risks, and excessive dependencies can be exploited or weaponised. The Draghi report highlights the need for Europe to ensure the resilience of its supply chains, notably for critical raw materials.</li></ol><div>These measures are part of a broader strategy to enhance the EU's economic security and competitiveness by ensuring a stable supply of essential minerals and reducing vulnerabilities in supply chains.</div>",In force,2025,Regional,International Energy Agency,,,https://commission.europa.eu/topics/eu-competitiveness/competitiveness-compass_en,,1746485644350,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""General legal framework"",""name"":""Strategic plans"",""category"":null}]"
European Investment Bank Critical Raw Materials Strategic Initiative,"<div>The European Investment Bank (EIB) announced a new critical raw materials (CRM) strategic initiative to enhance the EIB Groupâs role in financing and advisory support for CRM projects across the entire value chain, both within and outside the EU.<br>The EIB adopted a new critical raw materials (CRM) strategic initiative to enhance the EIB Groupâs role in financing and advisory support for CRM projects, contributing to the objectives of the EUâs Critical Raw Materials Act (CRMA). This initiative includes an expected EUR 2 billion in financing for CRM investments this year. Additionally, a new CRM Task Force and a dedicated one-stop shop will be established to manage CRM operations and advisory activities, increasing technical expertise and partnerships.</div>",In force,2025,Regional,International Energy Agency,,,https://www.eib.org/en/press/all/2025-156-eib-steps-up-financing-for-european-security-and-defence-and-critical-raw-materials,,1746485595359,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":""Minerals recycling""},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Public investment"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":null}]"
Battery Booster Package - Industrial Action Plan for the European automotive sector,"<div>In March 2025, the European Commission released an Industrial Action Plan for the European automotive sector, addressing the significant transformation and challenges faced by the industry. The plan outlines concrete measures to secure global competitiveness and maintain a strong European production base through action in five key areas: innovation and digitalisation, clean mobility, competitiveness and supply chain resilience, skills and social dimension, and level playing field and business environment.<br><br>The <strong>Battery Booster</strong> package is a key component of the Action Plan aimed at achieving near-term cost competitiveness of domestically produced battery cells and components. The package includes several financial measures and support mechanisms:</div><ul><li><strong>Innovation Fund:</strong> Up to EUR 3 billion for electric vehicle battery manufacturing. The first call for EUR 1 billion was launched on 3 December 2024.</li><li><strong>InvestEU Top-Up:</strong> An additional EUR 200 million from the Innovation Fund will support innovative projects along the European battery manufacturing value chain, enabling additional EIB Group venture debt operations over 2025-2027.</li><li><strong>Support for Battery Manufacturing:</strong> The Commission will make available EUR 1.8 billion in the next two years to support companies manufacturing batteries in the EU by mobilising resources from the Innovation Fund.</li><li><strong>EU Direct Production Support:</strong> The Commission will explore possibilities for direct production support to companies manufacturing batteries in the EU, potentially combined with State aid.</li><li><strong>Non-Price Criteria:</strong> When setting up funding instruments, non-price criteria such as resilience requirements will be considered for both EU and Member State funding.</li><li><strong>European Content Requirements:</strong> Upcoming legislation, including the Industrial Decarbonisation Accelerator Act and the Circular Economy Act, will address European content requirements on battery cells and components in electric vehicles sold in the EU.</li><li><strong>Standardisation and Guidance:</strong> The Commission will provide clarity on a simple calculation method for the battery carbon footprint and explore standardisation interventions to benefit the European battery ecosystem.</li></ul><div>This package aims to boost European added value, support the entire battery value chain, and ensure a resilient and competitive battery manufacturing sector in Europe.</div>",In force,2025,Regional,International Energy Agency,,,https://transport.ec.europa.eu/document/download/89b3143e-09b6-4ae6-a826-932b90ed0816_en?filename=Communication%20-%20Action%20Plan.pdf,,1746485583616,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":""Minerals recycling""},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Innovation funds"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Public investment"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":null}]"
Updated List of European Waste with battery-related waste codes,"<div>The European Commission has updated the List of Waste to include new battery-related waste codes, aiming to enhance the circular management of batteries and their critical raw materials. This update, effective from March 5, 2025, classifies shredded battery waste, known as ""black mass,"" as hazardous, thereby improving control over its shipments and banning exports to non-OECD countries. This decision supports the Battery Regulation's goal of shifting to a circular economy, increasing the security of supply for raw materials, and enhancing the EU's strategic autonomy. The new codes cover various stages of the battery life cycle, including manufacturing, post-consumer batteries, and intermediate fractions from recycling, ensuring proper handling and boosting battery recycling efforts within the EU.</div>",In force,2025,Regional,International Energy Agency,,,https://environment.ec.europa.eu/document/48cdc11b-facb-429a-80ad-4b37bce77ced_en,,1746485412243,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Trade"",""name"":""Export controls and restrictions"",""category"":""Minerals recycling""},{""topic"":""Critical Minerals"",""family"":""Trade"",""name"":""Import controls and restrictions"",""category"":""Minerals recycling""}]"
